Year,DrvPerPrsn15to19,DrvPerPrsn20to29,DrvPerPrsn30to54,DrvPerPrsn55to64,DrvPerPrsn65Plus
2010,0.817460922,0.94664472,0.97100277,0.99,0.934995118
2038,0.909183957,0.909183957,0.932578107,0.950823576,0.897995355
