Geo,Year,FwyLaneMi,ArtLaneMi
Albany,2010,35,133
Albany,2040,35,133
Bend,2040,48,164
Bend,2010,48,164
Corvallis,2040,10,146
Corvallis,2010,10,146
EugeneSpringfield,2010,130,479
EugeneSpringfield,2040,130,479
GrantsPass,2010,100,158
GrantsPass,2040,100,158
Metro,2010,526,2232
Metro,2040,526,2232
None,2010,35,133
None,2040,35,133
RogueValley,2010,90,354
RogueValley,2040,90,354
SalemKeizer,2010,122,419
SalemKeizer,2040,122,419
